income,frequency,wgtFrequency,stdev_wgtFrequency,percent,sterror_percent,lowerci_95,upperci_95
inc_under15,557,81793,4187,3.0402,0.1551,2.7362,3.3442
inc_15to25,507,73208,3929,2.7211,0.1457,2.4356,3.0067
inc_25to35,617,86653,4385,3.2209,0.1622,2.9029,3.5389
inc_35to50,1179,171125,6253,6.3607,0.2296,5.9106,6.8108
inc_50to75,2536,346644,8238,12.8847,0.3021,12.2925,13.4769
inc_75to100,2834,404322,8988,15.0286,0.3271,14.3873,15.6698
inc_100to150,4547,667837,11935,24.8234,0.414,24.0119,25.6348
inc_over150,5238,858773,13423,31.9204,0.4489,31.0405,32.8003
